TransactionID,AccountID,TransactionFrequency,LastTransactionDate
TRANS00001,ACC00001,Frequently,2023-08-05
TRANS00002,ACC00002,Frequently,2023-01-31
TRANS00003,ACC00003,Frequently,2023-03-16
TRANS00004,ACC00004,Occasionally,2023-10-27
TRANS00005,ACC00005,Very Frequently,2023-12-07
TRANS00006,ACC00006,Frequently,2023-08-20
TRANS00007,ACC00007,Rarely,2023-11-08
TRANS00008,ACC00008,Rarely,2023-01-16
TRANS00009,ACC00009,Rarely,2023-04-07
TRANS00010,ACC00010,Rarely,2023-10-01
TRANS00011,ACC00011,Frequently,2023-02-16
TRANS00012,ACC00012,Frequently,2023-10-21
TRANS00013,ACC00013,Rarely,2023-07-05
TRANS00014,ACC00014,Rarely,2023-04-23
TRANS00015,ACC00015,Very Frequently,2023-04-08
TRANS00016,ACC00016,Frequently,2023-01-30
TRANS00017,ACC00017,Rarely,2023-01-06
TRANS00018,ACC00018,Very Frequently,2023-10-23
TRANS00019,ACC00019,Occasionally,2023-09-30
TRANS00020,ACC00020,Occasionally,2023-11-06
TRANS00021,ACC00021,Very Frequently,2023-07-25
TRANS00022,ACC00022,Occasionally,2023-09-28
TRANS00023,ACC00023,Very Frequently,2023-09-20
TRANS00024,ACC00024,Rarely,2023-04-03
TRANS00025,ACC00025,Occasionally,2023-06-16
TRANS00026,ACC00026,Rarely,2023-06-23
TRANS00027,ACC00027,Rarely,2023-10-19
TRANS00028,ACC00028,Frequently,2023-05-12
TRANS00029,ACC00029,Frequently,2023-06-22
TRANS00030,ACC00030,Frequently,2023-12-23
TRANS00031,ACC00031,Rarely,2023-05-17
TRANS00032,ACC00032,Very Frequently,2023-07-01
TRANS00033,ACC00033,Very Frequently,2023-03-13
TRANS00034,ACC00034,Very Frequently,2023-07-26
TRANS00035,ACC00035,Frequently,2023-07-21
TRANS00036,ACC00036,Rarely,2023-06-02
TRANS00037,ACC00037,Frequently,2023-04-01
TRANS00038,ACC00038,Occasionally,2023-07-15
TRANS00039,ACC00039,Rarely,2023-11-30
TRANS00040,ACC00040,Frequently,2023-02-11
TRANS00041,ACC00041,Frequently,2023-10-05
TRANS00042,ACC00042,Frequently,2023-08-06
TRANS00043,ACC00043,Rarely,2023-12-30
TRANS00044,ACC00044,Rarely,2023-07-10
TRANS00045,ACC00045,Rarely,2023-08-02
TRANS00046,ACC00046,Very Frequently,2023-10-13
TRANS00047,ACC00047,Occasionally,2023-04-08
TRANS00048,ACC00048,Rarely,2023-08-31
TRANS00049,ACC00049,Rarely,2023-01-10
TRANS00050,ACC00050,Very Frequently,2023-02-13
TRANS00051,ACC00051,Very Frequently,2023-11-02
TRANS00052,ACC00052,Occasionally,2023-11-02
TRANS00053,ACC00053,Frequently,2023-06-13
TRANS00054,ACC00054,Frequently,2023-07-10
TRANS00055,ACC00055,Occasionally,2023-06-08
